0,A1,A2,B1,B2,C1,C2,D1,D2,Q
0.00026068291113050653,0.49998982354831156,0.49998982354831156,0.0007820487333915196,0.0007820487333915196,0.0041709265780881044,0.004692292400349117,0.49998982354831156,0.49998982354831156,2.7684971851793527e-05
0.0002768497185180661,0.49999059164362736,0.49999059164362736,0.0019379480296264626,0.0019379480296264626,0.0038758960592529253,0.0038758960592529253,0.49999059164362736,0.49999059164362736,-0.0009965557134724648
0.00028473020384926035,0.5005556983669998,0.4994167775516027,0.0019931114269448225,0.002277841630794083,0.005125143669286686,0.004270953057738906,0.5005556983669998,0.4994167775516027,-0.002286551862093464
0.00031757664751297436,0.5278123881665634,0.5405154540670823,0.0022230365325908207,0.003493343122642718,0.005398803007720564,0.004446073065181641,0.5278123881665634,0.38807866326085466,0.011012641460152291
0.0003317060680768735,0.5221053511529988,0.5486418365991488,0.0023219424765381145,0.003317060680768735,0.005639003157306849,0.005639003157306849,0.5221053511529988,0.39207657246686445,0.02294643969141376
0.0003461001461751698,0.5170736183857036,0.5558368347573227,0.0024227010232261885,0.004499301900277207,0.005883702484977886,0.005883702484977886,0.5170736183857036,0.3952463669320439,0.02174780554791421
0.00036428485004881165,0.5180130567694101,0.5558986811744866,0.0025499939503416816,0.004735703050634551,0.005099987900683363,0.005828557600780986,0.5180130567694101,0.3926990683526189,0.029940438665005897
0.00034814463563960307,0.4849654774459671,0.5145577714753333,0.0024370124494772216,0.004874024898954443,0.005222169534594046,0.00452588026331484,0.4849654774459671,0.5145577714753333,0.03215207936504664
0.0003596429459177476,0.4837197622593705,0.5157279844460501,0.003596429459177476,0.003956072405095224,0.005394644188766214,0.004675358296930719,0.4837197622593705,0.5157279844460501,0.033201689915621155
0.00037138355610314566,0.48317000649019254,0.5162231429833725,0.005570753341547185,0.005942136897650331,0.005570753341547185,0.004827986229340894,0.48317000649019254,0.5162231429833725,0.033561281393317585
0.00040145073436982816,0.49980616429043606,0.541958491399268,0.006021761015547422,0.006824662484287079,0.006021761015547422,0.005620310281177594,0.49980616429043606,0.45444223130664546,0.031434356546357574
0.0004157983670153112,0.50103703225345,0.5413694738539352,0.008315967340306225,0.00706857223926029,0.006236975505229668,0.005405378771199045,0.50103703225345,0.45238862331265856,0.031005681053899094
0.000447412425020189,0.515866526048278,0.5646344803754786,0.008500836075383591,0.007158598800323024,0.007606011225343214,0.005368949100242269,0.515866526048278,0.38566951036740293,0.05625715620331813
0.00047394402867159224,0.5047503905352457,0.5791596030366858,0.009004936544760252,0.009952824602103437,0.00853099251608866,0.005687328344059107,0.5047503905352457,0.39337354379742157,0.08370260852525516
0.000501513532206442,0.4919847750945196,0.5947950491968402,0.01003027064412884,0.012036324772954608,0.006519675918683746,0.00752270298309663,0.4919847750945196,0.4022138528295665,0.0830040984855333
